campaign_id,influencer_name,platform,tier,follower_count,content_type,campaign_month,fee_usd,views,likes,comments,shares,link_clicks,signups,paid_conversions,revenue_attributed_usd
C001,TechReviewPro,youtube,macro,1850000,dedicated_video,2025-01,15000,420000,18500,2800,4200,8900,285,42,37800
C002,AIExplained,youtube,mid,380000,dedicated_video,2025-01,6000,185000,9200,1450,2100,3800,145,18,16200
C003,DevToolsDaily,twitter,micro,42000,thread,2025-01,1500,85000,3200,890,1800,2100,68,8,7200
C004,SarahBuilds,tiktok,mid,520000,short_form,2025-01,4500,680000,42000,3100,8500,4200,180,15,13500
C005,StartupPodcast,podcast,macro,2200000,host_read_ad,2025-02,22000,380000,0,0,0,6200,295,48,43200
C006,TechReviewPro,youtube,macro,1920000,integration,2025-02,10000,310000,14200,1900,3100,5800,210,35,31500
C007,CodeWithMia,youtube,mid,290000,tutorial_integration,2025-02,5000,142000,7800,1100,1500,2900,120,14,12600
C008,AIExplained,youtube,mid,395000,dedicated_video,2025-03,7000,210000,10500,1650,2400,4100,160,22,19800
C009,VoiceTechNerd,twitter,micro,28000,thread,2025-03,1200,62000,2800,720,1400,1600,52,6,5400
C010,SarahBuilds,tiktok,mid,580000,short_form,2025-03,5000,720000,45000,3500,9200,4800,195,18,16200
C011,TheAIPodcast,podcast,mid,450000,host_read_ad,2025-03,12000,220000,0,0,0,3500,165,28,25200
C012,TechReviewPro,youtube,macro,2010000,dedicated_video,2025-04,18000,510000,22000,3200,5100,10200,340,55,49500
C013,DevToolsDaily,twitter,micro,48000,thread,2025-04,1800,95000,3800,1020,2100,2400,78,10,9000
C014,StartupPodcast,podcast,macro,2350000,host_read_ad,2025-04,25000,420000,0,0,0,7100,315,52,46800
C015,CreatorEconomy,youtube,mid,310000,integration,2025-04,4000,165000,8100,950,1800,3200,125,12,10800
C016,AIExplained,youtube,mid,410000,dedicated_video,2025-05,8000,245000,12000,1800,2800,4600,185,25,22500
C017,SarahBuilds,tiktok,mid,640000,short_form,2025-05,5500,810000,52000,4100,10500,5500,225,20,18000
C018,TechReviewPro,youtube,macro,2080000,integration,2025-05,12000,380000,16500,2400,3800,7200,260,42,37800
C019,VoiceTechNerd,twitter,micro,35000,thread,2025-05,1500,78000,3400,820,1600,1900,62,7,6300
C020,StartupPodcast,podcast,macro,2400000,host_read_ad,2025-06,28000,450000,0,0,0,7800,345,58,52200
C021,CodeWithMia,youtube,mid,320000,tutorial_integration,2025-06,6000,175000,9200,1300,1800,3400,140,16,14400
C022,DevToolsDaily,twitter,micro,52000,thread,2025-06,2000,102000,4200,1100,2300,2700,88,11,9900
C023,SarahBuilds,tiktok,mid,690000,short_form,2025-06,6000,850000,55000,4500,11200,5800,240,22,19800
C024,TheAIPodcast,podcast,mid,480000,host_read_ad,2025-06,14000,250000,0,0,0,3900,180,32,28800
